Date,Open,Close,High,Low
5/6/2023,2016.57,2016.57,2016.57,2016.57
5/7/2023,2016.57,2016.57,2016.57,2016.57
5/8/2023,2016.6,2021.64,2029.36,2014.61
5/9/2023,2020.93,2034.43,2037.44,2019.6
5/10/2023,2034.31,2029.77,2047.89,2021.77
5/11/2023,2030.04,2015.88,2039.11,2011.54
5/12/2023,2015.2,2011.41,2022.28,2001.6
5/13/2023,2011.41,2011.41,2011.41,2011.41
5/14/2023,0,2011.41,0,0
5/15/2023,2010.25,2020.95,2021.81,2008.71
5/16/2023,2016.57,1988.94,2018.5,1985.62
5/17/2023,1988.31,1982.09,1993,1975.35
5/18/2023,1982.49,1958.43,1985.87,1952.08
5/19/2023,1958.39,1977.8,1983.25,1954.17
5/20/2023,1977.8,1977.8,1977.8,1977.8
5/21/2023,1977.8,1977.8,1977.8,1977.8
5/22/2023,1978.94,1969.79,1982.5,1969.33
5/23/2023,1971.86,1975.22,1977.61,1954.26
5/24/2023,1976.37,1957.36,1985.15,1956.9
5/25/2023,1958.5,1940.69,1964.74,1938.99
5/26/2023,1941.77,1946.71,1957.29,1937.74
5/27/2023,1946.71,1946.71,1946.71,1946.71
5/28/2023,1946.71,1946.61,1946.71,1946.61
5/29/2023,1943.84,1943.1,1949.73,1940.55
5/30/2023,1943.35,1959.52,1963.56,1932.28
5/31/2023,1958.83,1962.67,1974.25,1953.85
6/1/2023,1963.37,1978.15,1982.97,1953.6
6/2/2023,1977.04,1948.02,1983.4,1947.84
6/3/2023,1948.02,1948.02,1948.02,1948.02
6/4/2023,1948.02,1948.02,1948.02,1948.02
6/5/2023,1947.7,1962.11,1964,1938.19
6/6/2023,1961.43,1963.41,1966.33,1954.67
6/7/2023,1963.29,1939.99,1969.88,1939.95
6/8/2023,1941.09,1968.1,1970.3,1941.09
6/9/2023,1966.25,1960.99,1971.55,1957.08
6/10/2023,1960.99,1960.99,1960.99,1960.99
6/11/2023,0,1960.99,0,0
6/12/2023,1959.76,1957.65,1966.9,1949.3
6/13/2023,1957.02,1943.67,1968.57,1940.14
6/14/2023,1944.1,1943.45,1960.2,1939.9
6/15/2023,1943.65,1958.03,1960.29,1926.05
6/16/2023,1957.76,1957.85,1967.8,1953.55
6/17/2023,1957.85,1957.85,1957.85,1957.85
6/18/2023,1957.85,1957.85,1957.85,1957.85
6/19/2023,1958.55,1950.42,1958.64,1948
6/20/2023,1951.6,1936.29,1956.75,1929.91
6/21/2023,1936.5,1932.6,1939.3,1920.35
6/22/2023,1933.31,1913.85,1934.95,1912.55
6/23/2023,1914.33,1921.7,1936.17,1910.27
6/24/2023,1921.7,1921.7,1921.7,1921.7
6/25/2023,1921.7,1921.62,1921.7,1921.62
6/26/2023,1923.38,1923.21,1933.36,1921.75
6/27/2023,1924.02,1913.73,1930.61,1911.4
